Frequency_GHz,Phase00_deg,Phase01_deg,Phase10_deg,Phase11_deg,SelectedPhaseDifference_deg
10.888,-367.754977041356,-536.977440512593,-370.623753275481,-528.666655360165,-190.777536528764
10.896,-368.351450933934,-537.579130251224,-371.231775646766,-529.279172774917,-190.77232068271
10.904,-368.948264555794,-538.181362109441,-371.840242994029,-529.89242249831,-190.766902446353
10.912,-369.545441763521,-538.784128064946,-372.449180502513,-530.506397098105,-190.761313698575
10.92,-370.143006561511,-539.387420019537,-373.058613518233,-531.121089033244,-190.755586541974
10.928,-370.740983105381,-539.991229800202,-373.668567551572,-531.736490654667,-190.749753305179
10.936,-371.339395705447,-540.59554916024,-374.279068280949,-532.352594206166,-190.743846545206
10.944,-371.93826883026,-541.200369780402,-374.890141556546,-532.969391825271,-190.737899049858
10.952,-372.537627110209,-541.805683270061,-375.501813404099,-533.586875544165,-190.731943840148
10.96,-373.137495341179,-542.411481168402,-376.114110028742,-534.205037290647,-190.726014172777
10.968,-373.73789848829,-543.01775494564,-376.727057818934,-534.823868889118,-190.72014354265
10.976,-374.338861689682,-543.624496004261,-377.34068335042,-535.443362061611,-190.714365685422
10.984,-374.940410260378,-544.231695680281,-377.955013390288,-536.063508428856,-190.708714580097
10.992,-375.542569696209,-544.839345244538,-378.570074901064,-536.684299511367,-190.703224451672
11,-376.14536567781,-545.447435903996,-379.18589504488,-537.305726730586,-190.697929773814
11.008,-376.748824074673,-546.055958803082,-379.802501187719,-537.927781410042,-190.692865271591
11.016,-377.352970949282,-546.664905025034,-380.419920903702,-538.550454776558,-190.688065924249
11.024,-377.957832561312,-547.274265593282,-381.038181979463,-539.173737961484,-190.68356696803
11.032,-378.563435371886,-547.884031472843,-381.657312418572,-539.79762200197,-190.679403899043
11.04,-379.169806047924,-548.494193571738,-382.277340446036,-540.422097842275,-190.675612476185
11.048,-379.776971466548,-549.104742742436,-382.898294512866,-541.0471563351,-190.672228724112
11.056,-380.384958719556,-549.715669783304,-383.520203300701,-541.672788242969,-190.669288936253
11.064,-380.993795117986,-550.326965440095,-384.14309572651,-542.298984239629,-190.666829677891
11.072,-381.603508196733,-550.938620407442,-384.767000947358,-542.925734911498,-190.664887789291
11.08,-382.214125719252,-551.550625330377,-385.391948365238,-543.553030759134,-190.663500388875
11.088,-382.825675682332,-552.162970805863,-386.017967631969,-544.180862198742,-190.662704876469
11.096,-383.438186320946,-552.775647384355,-386.645088654173,-544.809219563713,-190.662538936591
11.104,-384.051686113175,-553.388645571364,-387.273341598305,-545.438093106197,-190.663040541812
11.112,-384.66620378521,-554.001955829049,-387.90275689576,-546.067472998703,-190.664247956161
11.12,-385.281768316431,-554.615568577822,-388.53336524805,-546.69734933573,-190.66619973861
11.128,-385.898408944565,-555.229474197966,-389.165197632043,-547.327712135435,-190.6689347466
11.136,-386.516155170917,-555.843663031275,-389.798285305275,-547.958551341328,-190.672492139643
11.144,-387.135036765689,-556.458125382701,-390.432659811328,-548.589856823988,-190.676911382988
11.152,-387.755083773367,-557.072851522024,-391.068352985271,-549.221618382827,-190.682232251343
11.16,-388.376326518199,-557.687831685526,-391.705396959183,-549.853825747863,-190.688494832673
11.168,-388.998795609746,-558.303056077686,-392.343824167728,-550.486468581531,-190.69573953206
11.176,-389.622521948517,-558.918514872885,-392.9836673538,-551.119536480525,-190.704007075632
11.184,-390.247536731685,-559.534198217122,-393.624959574241,-551.753018977657,-190.713338514563
11.192,-390.873871458883,-560.150096229743,-394.267734205616,-552.386905543746,-190.72377522914
11.2,-391.50155793808,-560.766199005176,-394.912024950062,-553.02118558954,-190.735358932904
11.208,-392.130628291549,-561.382496614687,-395.557865841187,-553.655848467651,-190.748131676863
11.216,-392.761114961904,-561.998979108131,-396.205291250048,-554.29088347452,-190.762135853773
11.224,-393.393050718227,-562.615636515725,-396.854335891176,-554.92627985241,-190.777414202502
11.232,-394.026468662274,-563.232458849819,-397.505034828671,-555.56202679141,-190.794009812455
