Cx_val,Cy_val,frequency_GHz,real,imag,reference_impedance_ohm,magnitude_linear,magnitude_dB,phase_deg_wrapped,phase_deg_unwrapped
0.7,0.7,5.748,-0.741251449031,-0.00621314005887,376.730313667,0.74127748772,-2.60038378031,-179.51976031,-179.51976031
0.7,0.7,5.754,-0.73909206364,0.0182686715742,376.730313667,0.73931780913,-2.62337664262,178.584067211,-181.415932789
0.7,0.7,5.76,-0.736200431859,0.0427200250234,376.730313667,0.737438862827,-2.64547957853,176.67898132,-183.32101868
0.7,0.7,5.766,-0.732575947361,0.0671123550553,376.730313667,0.735643654804,-2.66665013251,174.765660471,-185.234339529
0.7,0.7,5.772,-0.728219456786,0.0914169857816,376.730313667,0.733935039721,-2.68684755206,172.844807374,-187.155192626
0.7,0.7,5.778,-0.723133270704,0.115605222775,376.730313667,0.732315707009,-2.70603301673,170.917147475,-189.082852525
0.7,0.7,5.784,-0.717321167571,0.139648446233,376.730313667,0.730788167653,-2.72416986034,168.983427264,-191.016572736
0.7,0.7,5.79,-0.710788390568,0.163518204562,376.730313667,0.729354741802,-2.74122378385,167.044412433,-192.955587567
0.7,0.7,5.796,-0.70354163728,0.187186307751,376.730313667,0.728017547313,-2.75716305634,165.100885868,-194.899114132
0.7,0.7,5.802,-0.69558904225,0.210624919899,376.730313667,0.726778489349,-2.771958702,163.153645512,-196.846354488
0.7,0.7,5.808,-0.68694015249,0.233806650254,376.730313667,0.725639251147,-2.78558467068,161.203502098,-198.796497902
0.7,0.7,5.811,-0.682357959163,0.245292768809,376.730313667,0.725107527794,-2.79195172334,160.227598012,-199.772401988
0.7,0.7,5.814,-0.677605896097,0.256704642148,376.730313667,0.724601286036,-2.79801799013,159.251276772,-200.748723228
0.7,0.7,5.82,-0.667598544204,0.279292659222,376.730313667,0.723665810799,-2.80923889796,157.297798622,-202.702201378
0.7,0.7,5.826,-0.656931666534,0.301545168357,376.730313667,0.722833800437,-2.81923095177,155.343902137,-204.656097863
0.7,0.7,5.832,-0.64562008088,0.323437418774,376.730313667,0.722105984395,-2.8279811162,153.390424611,-206.609575389
0.7,0.7,5.838,-0.633679796925,0.344945516785,376.730313667,0.721482844274,-2.83547982574,151.438203509,-208.561796491
